content,score,product_code,provider_name,name
"러쉬아워 시간엔 대기 줄이 긴 점이 아쉽지만
저렴하게 이용가능해서 좋습니다",5,PARKING,판교 공영주차장,코나
직원이 다소 불친절합니다.,4,PARKING,판교 공영주차장,아반떼
맛좋은 주차장,5,PARKING,판교 공영주차장,투싼
생각보다 주차 자리가 있었어요. ,5,PARKING,판교 공영주차장,투싼
맛좋은 주차장,5,PARKING,판교 공영주차장,모닝
맛좋은 주차장,5,PARKING,판교 공영주차장,모닝
맛좋은 주차장,5,PARKING,판교 공영주차장,모닝
가격이 저렴합니다.,5,PARKING,판교 공영주차장,모닝
"러쉬아워 시간엔 대기 줄이 긴 점이 아쉽지만
저렴하게 이용가능해서 좋습니다",5,PARKING,판교 공영주차장,모닝
편하게 잘 이용했습니다,5,PARKING,판교 공영주차장,트랙스
좋아요,5,PARKING,판교 공영주차장,트레일블레이저
주차면이 넉넉함,5,PARKING,판교 공영주차장,모델 Y
주차장은 좋은데 빈번하게 결제 실패 되는게 불편해요,5,PARKING,판교 공영주차장,모델 Y
"러쉬아워 시간엔 대기 줄이 긴 점이 아쉽지만
저렴하게 이용가능해서 좋습니다",5,PARKING,판교 공영주차장,2시리즈
넓어서 좋네요,5,PARKING,판교 공영주차장,E클래스
생각보다 주차 자리가 있었어요. ,5,PARKING,판교 공영주차장,쏘나타
주차면이 넉넉함,5,PARKING,판교 공영주차장,카니발
주차장은 좋은데 빈번하게 결제 실패 되는게 불편해요,5,PARKING,판교 공영주차장,카니발
맛좋은 주차장,5,PARKING,판교 공영주차장,레이
넓어서 좋네요,5,PARKING,판교 공영주차장,X4
맛좋은 주차장,5,PARKING,판교 공영주차장,3시리즈
맛좋은 주차장,5,PARKING,판교 공영주차장,3시리즈
넓어서 좋네요,5,PARKING,판교 공영주차장,EQE
직원이 다소 불친절합니다.,4,PARKING,판교 공영주차장,아반떼
