content,score,product_code,provider_name,name
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,모델 S
"러쉬아워 시간엔 대기 줄이 긴 점이 아쉽지만
저렴하게 이용가능해서 좋습니다",5,PARKING,판교 공영주차장,2시리즈
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,5시리즈
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,C클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,E클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,E클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,E클래스
넓어서 좋네요,5,PARKING,판교 공영주차장,E클래스
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,A4
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,A4
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,A4
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,아이오닉6
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,그랜저
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,그랜저
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,그랜저
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,그랜저
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,그랜저
"러쉬아워 시간엔 대기 줄이 긴 점이 아쉽지만
저렴하게 이용가능해서 좋습니다",5,PARKING,판교 공영주차장,코나
직원이 다소 불친절합니다.,4,PARKING,판교 공영주차장,아반떼
넚음,5,PARKING,카카오판교아지트 주차장,아반떼
주차장 맛있다,5,PARKING,하이파킹 판교알파돔타워,투싼
맛좋은 주차장,5,PARKING,판교 공영주차장,투싼
깨끗하게 해주셨어요 감사합니다.,5,PARKING,하이파킹 판교알파돔타워,투싼
생각보다 주차 자리가 있었어요. ,5,PARKING,판교 공영주차장,투싼
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,싼타페
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,K5
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,K5
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,K5
비싸긴 비싸네요. ,5,PARKING,하이파킹 판교알파돔타워,스포티지
